variable,group,daily_score,n_tracks,n_utracks,daily_dur,artist_score,value
Franco Battiato,17,42.34,5.0,5.0,17.240000000000002,665.44,5
Talking Heads,17,0.0,0.0,0.0,0.0,0.0,0
Tangerine Dream,17,0.0,0.0,0.0,0.0,0.0,0
Van Der Graaf Generator,17,0.0,0.0,0.0,0.0,0.0,0
XTC,17,0.0,0.0,0.0,0.0,0.0,0
Yazoo,17,0.0,0.0,0.0,0.0,0.0,0
PJ Harvey,17,0.0,0.0,0.0,0.0,0.0,0
Ultravox,18,0.0,0.0,0.0,0.0,0.0,0
New Order,18,99.36,12.0,12.0,49.55,879.49,8
The Rolling Stones,18,0.0,0.0,0.0,0.0,0.0,0
Franco Battiato,18,74.37,9.0,9.0,32.23,665.44,8
Talking Heads,18,0.0,0.0,0.0,0.0,0.0,0
Tangerine Dream,18,122.05,15.0,15.0,57.48,299.43,8
Van Der Graaf Generator,18,0.0,0.0,0.0,0.0,0.0,0
XTC,18,0.0,0.0,0.0,0.0,0.0,0
Yazoo,18,0.0,0.0,0.0,0.0,0.0,0
PJ Harvey,18,0.0,0.0,0.0,0.0,0.0,0
Ultravox,19,116.03,14.0,14.0,62.29,1187.17,8
New Order,19,0.0,0.0,0.0,0.0,0.0,0
The Rolling Stones,19,0.0,0.0,0.0,0.0,0.0,0
Franco Battiato,19,90.59,11.0,11.0,41.59,665.44,8
